geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
51059452600,51059450400,-77.15462556234955,38.80172750639136,-77.1700423930704,38.862163811462075,2020-01-04,2,69.0
51059452600,51059480801,-77.15462556234955,38.80172750639136,-77.38618187927071,38.97869021414635,2020-01-04,1,34.0
51059452600,51059422302,-77.15462556234955,38.80172750639136,-77.14387470794956,38.7733706143812,2020-01-04,3,103.0
51059452600,51059460501,-77.15462556234955,38.80172750639136,-77.23464620836,38.91088859959919,2020-01-04,2,69.0
51059452600,51059451502,-77.15462556234955,38.80172750639136,-77.12694250268389,38.85335649732703,2020-01-04,3,103.0
51059452600,51059420503,-77.15462556234955,38.80172750639136,-77.07498341609596,38.7896555328645,2020-01-04,1,34.0
51059452600,51059420201,-77.15462556234955,38.80172750639136,-77.14761895675899,38.787625263894704,2020-01-04,2,69.0
51059452600,51059430801,-77.15462556234955,38.80172750639136,-77.22400663579869,38.78275924030369,2020-01-04,1,34.0
51059452600,51059421900,-77.15462556234955,38.80172750639136,-77.15517308573303,38.72577958578354,2020-01-04,2,69.0
51059452600,51059430600,-77.15462556234955,38.80172750639136,-77.18728098652899,38.78757070022494,2020-01-04,7,241.0
51059452600,51059452600,-77.15462556234955,38.80172750639136,-77.15462556234955,38.80172750639136,2020-01-04,208,7178.0
51059452600,51059482203,-77.15462556234955,38.80172750639136,-77.36225171998687,38.95920514871444,2020-01-04,1,34.0
51059452600,51059461100,-77.15462556234955,38.80172750639136,-77.29284252730673,38.898718721163846,2020-01-04,1,34.0
51059452600,51059451900,-77.15462556234955,38.80172750639136,-77.15608040491675,38.82612493936819,2020-01-04,6,207.0
51059452600,51059440100,-77.15462556234955,38.80172750639136,-77.25715641056563,38.85258610245918,2020-01-04,2,69.0
51059452600,51059420600,-77.15462556234955,38.80172750639136,-77.08219333669611,38.78714561136631,2020-01-04,1,34.0
51059452600,51059421103,-77.15462556234955,38.80172750639136,-77.1662883412407,38.74065844496078,2020-01-04,2,69.0
51059452600,51059452502,-77.15462556234955,38.80172750639136,-77.15123902504395,38.814460914367366,2020-01-04,4,138.0
51059452600,51059430202,-77.15462556234955,38.80172750639136,-77.28559755484302,38.81683226717199,2020-01-04,1,34.0
51059452600,51059430400,-77.15462556234955,38.80172750639136,-77.23209764122544,38.8029034033911,2020-01-04,1,34.0
51059452600,51059421002,-77.15462556234955,38.80172750639136,-77.1748165394979,38.76585775601781,2020-01-04,9,310.0
51059452600,51059470700,-77.15462556234955,38.80172750639136,-77.17077039060608,38.92199145237251,2020-01-04,1,34.0
51059452600,51059451501,-77.15462556234955,38.80172750639136,-77.14379538152191,38.86396932321095,2020-01-04,2,69.0
51059452600,51059422402,-77.15462556234955,38.80172750639136,-77.13566565204785,38.76336818632836,2020-01-04,2,69.0
51059452600,51059452400,-77.15462556234955,38.80172750639136,-77.19813475368196,38.80508137238677,2020-01-04,2,69.0
51059452600,51059421500,-77.15462556234955,38.80172750639136,-77.08882475465968,38.74928365444671,2020-01-04,2,69.0
