GEOID,LATITUDE,LONGITUDE
51059415100,38.77915855708658,-77.07037355067027
51059415200,38.776593957988624,-77.05161349408421
51059415300,38.766804573373534,-77.06988783885224
51059415401,38.75698838437604,-77.0779753090686
51059415402,38.75181567558743,-77.06916746648814
51059415500,38.73927691708416,-77.0696688940343
51059415600,38.748835242426146,-77.04970220106333
51059415700,38.7212988326234,-77.05229545514067
51059415800,38.72333993292989,-77.06873165782939
51059415900,38.718693392967516,-77.08772880973586
51059416000,38.72388210148962,-77.1038801591068
51059416100,38.706068713622436,-77.1155843944627
51059416200,38.691857650277846,-77.15665245608753
51059416300,38.65117192795946,-77.1870487306188
51059420100,38.787044854721834,-77.16467730069392
51059420201,38.787625263894704,-77.14761895675899
51059420202,38.79365002400024,-77.140051030655
51059420203,38.79184670710814,-77.12927007081682
51059420300,38.796281727542315,-77.10377014496983
51059420400,38.79515524891755,-77.06814562655329
51059420501,38.788550008675394,-77.06978500428973
51059420502,38.791231410692696,-77.06926141961982
51059420503,38.7896555328645,-77.07498341609596
51059420600,38.78714561136631,-77.08219333669611
51059420700,38.78575304124371,-77.10523645061623
51059420800,38.77747548827872,-77.09934268187929
51059421001,38.77086492518663,-77.15732169100312
51059421002,38.76585775601781,-77.1748165394979
51059421101,38.751490069298555,-77.17310359329277
51059421102,38.75672569662099,-77.15623553770146
51059421103,38.74065844496078,-77.1662883412407
51059421200,38.74891508473586,-77.1331458325589
51059421300,38.75647293178494,-77.11071480162141
51059421400,38.768705095958886,-77.0875446019173
51059421500,38.74928365444671,-77.08882475465968
51059421600,38.73936750416981,-77.09866460851858
51059421701,38.73427864747538,-77.10788884958362
51059421702,38.73877588676074,-77.11529106993054
51059421800,38.72402657127379,-77.1265633295961
51059421900,38.72577958578354,-77.15517308573303
51059422000,38.72244004919764,-77.19376353470913
51059422101,38.71056918178761,-77.21131067722241
51059422102,38.690651102703676,-77.2180753382558
51059422201,38.71508053261214,-77.23913897081628
51059422202,38.69222690900146,-77.24019098296726
51059422301,38.780137779327134,-77.12834659833878
51059422302,38.7733706143812,-77.14387470794956
51059422401,38.762571364391775,-77.14507249981021
51059422402,38.76336818632836,-77.13566565204785
51059422403,38.769781190280085,-77.12280710975398
51059430101,38.81145256010274,-77.3161711654565
